iter	Passed	Remaining
846	1177050	1604184
847	1177622	1601678
848	1178455	1599531
849	1179386	1597520
850	1179940	1595001
851	1180941	1593092
852	1181768	1590948
853	1182465	1588634
854	1183327	1586545
855	1184111	1584355
856	1184868	1582131
857	1185244	1579404
858	1185695	1576781
859	1186371	1574462
860	1187076	1572186
861	1187959	1570148
862	1188665	1567880
863	1189931	1566352
864	1190597	1564036
865	1191252	1561710
866	1191983	1559489
867	1192663	1557202
868	1193200	1554734
869	1193574	1552059
870	1193998	1549452
871	1194628	1547119
872	1195229	1544751
873	1195632	1542133
874	1196234	1539775
875	1196887	1537487
876	1197796	1535531
877	1198370	1533149
878	1199275	1531194
879	1200069	1529098
880	1200650	1526736
881	1201235	1524383
882	1202048	1522322
883	1202783	1520165
884	1203367	1517822
885	1203770	1515254
886	1204171	1512689
887	1204785	1510395
888	1205417	1508129
889	1206070	1505892
890	1206754	1503696
891	1207352	1501399
892	1208383	1499642
893	1209217	1497641
894	1209836	1495379
895	1210732	1493461
896	1211842	1491811
897	1212710	1489862
898	1213202	1487456
899	1213654	141068	80354	70319
1069	85282	74402
1070	85318	74283
1071	93106	80901
1072	93122	80752
1073	93139	80604
1074	93155	80456
1075	93168	80306
1076	93179	80153
1077	93190	80001
1078	93204	79852
1079	93222	79706
1080	93239	79560
1081	93252	79411
1082	93252	79411
1083	93252	79411
23669	1455537
914	1224347	1453410
915	1224920	1451162
916	1225361	1448762
917	1226059	1446669
918	1226794	1444624
919	1227312	1442325
920	1228206	1440472
921	1229125	1438650
922	1229734	1436468
923	1230125	1434036
924	1230564	1431662
925	1231292	1429630
926	1231994	1427570
927	1232828	1425666
928	1233297	1423341
929	1234080	1421384
930	1234731	1419277
931	1235405	1417199
932	1236629	1415754
933	1237845	1414301
934	1238534	1412247
935	1239180	1410147
936	1240070	1408328
937	1241215	1406799
938	1242090	1404965
939	1243368	1403589
940	1244102	1401600
941	1245056	1399861
942	1245888	1397987
943	1246624	1396007
944	1246652	1393240
945	1246687	1390485
946	1247211	1388281
947	1248616	1387059
948	1250131	1385958
949	1250881	1384009
950	1251940	1382405
951	1252372	1380111
952	1253320	1378389
953	1254807	1377259
954	1256196	1376022
955	1257091	1374244
956	1258752	1373304
957	1259344	1371198
958	1259360	1368469
959	1259375	1365745
960	1259388	1363025
961	1259867	1360813
962	1260577	1358855
963	1261230	1356838
964	1262113	1355069
965	1262869	1353168
966	1263288	1350907
967	1264095	1349066
968	1264812	1347130
969	1265766	1345448
970	1266533	1343570
971	1267653	1342067
972	1268605	1340389
973	1269613	1338770
974	1271302	1337869
975	1272350	1336293
976	1273938	1335285
977	1274773	1333488
978	1275525	1331606
979	1276550	1330011
980	1276985	1327804
981	1277176	1325347
982	1278228	1323786
983	1279683	1322643
984	1281724	1322104
985	1282854	1320623
986	1283972	1319131
987	1284983	1317530
988	1286366	1316312
989	1287129	1314460
990	1288450	1313178
991	1290015	1312145
992	1291457	1310985
993	1293197	1310127
994	1294453	1308777
995	1295438	1307156
996	1296663	1305776
997	1297913	1304422
998	1298952	1302857
999	1299791	1301092
1000	1301134	1299832
1001	1302541	1298638
1002	1303552	1297047
1003	1305145	1296037
1004	1306403	1294692
1005	1307669	1293356
1006	1309420	1292499
1007	1310251	1290734
1008	1311679	1289558
1009	1313397	1288665
1010	1315285	1287937
1011	1316924	1286965
1012	1318494	1285922
1013	1319711	1284536
1014	1321060	1283278
1015	1322656	1282259
1016	1323608	1280617
1017	1324668	1279079
1018	1326024	1277829
1019	1327220	1276423
1020	1329080	1275656
1021	1329916	1273906
1022	1331351	1272730
1023	1332168	1270964
1024	1333109	1269318
1025	1333934	1267562
1026	1334800	1265848
1027	1336181	1264624
1028	1337350	1263197
1029	1339005	1262230
1030	1340728	1261325
1031	1342183	1260168
1032	1343480	1258862
1033	1344876	1257648
1034	1346115	1256287
1035	1348261	1255772
1036	1349321	1254243
1037	1355616	1257572
1038	1360310	1259401
1039	1364868	1261091
1040	1369257	1262613
1041	1373509	1263998
1042	1378014	1265604
1043	1381622	1266376
1044	1385580	1267461
1045	1389227	1268251
1046	1393093	1269233
1047	1395208	1268613
1048	1397287	1267958
1049	1399751	1267649
1050	1402544	1267632
1051	1405565	1267817
1052	1408152	1267605
1053	1410976	1267600
1054	1414419	1268146
1055	1417939	1268753
1056	1421671	1269541
1057	1426279	1271102
1058	1427586	1269715
1059	1431905	1271002
1060	1436832	1272816
1061	1441887	1274732
1062	1446772	1276483
1063	1450887	1277545
1064	1454301	1277981
1065	1457034	1277812
1066	1460432	1278221
1067	1463969	1278743
1068	1467253	1279038
1069	1470532	1279322
1070	1473797	1279586
1071	1477196	1279961
1072	1480478	1280227
1073	1483813	1280532
1074	1485877	1279736
1075	1487866	1278873
1076	1489902	1278048
1077	1492291	1277523
1078	1494522	1276860
1079	1496754	1276195
1080	1499151	1275667
1081	1501131	1274781
1082	1503020	1273816
1083	1504884	1272829
1084	1506799	1271883
1085	1508696	1270920
1086	1510603	1269964
1087	1512441	1268947
1088	1514325	1267969
1089	1516212	1266990
1090	1518071	1265987
1091	1519923	1264977
1092	1521779	1263968
1093	1523680	1262996
1094	1525571	1262012
1095	1527636	1261172
1096	1529730	1260353
1097	1531839	1259543
1098	1533915	1258704
1099	1536030	1257896
1100	1538389	1257283
1101	1540856	1256756
1102	1543043	1255998
1103	1545125	1255152
1104	1547669	1254678
1105	1550209	1254196
1106	1552288	1253339
1107	1554288	1252416
1108	1556730	1251847
1109	1559709	1251705
1110	1561963	1250977
1111	1564249	1250273
1112	1567419	1250270
1113	1569981	1249778
1114	1572713	1249417
1115	1575274	1248917
1116	1577583	1248213
1117	1579816	1247446
1118	1582317	1246888
1119	1584894	1246387
1120	1587491	1245896
1121	1589535	1244970
1122	1591840	1244246
1123	1594177	1243543
1124	1596548	1242864
1125	1598857	1242134
1126	1601270	1241482
1127	1603607	1240768
1128	1606279	1240309
1129	1609295	1240112
1130	1612771	1240263
1131	1615226	1239625
1132	1617481	1238830
1133	1619750	1238043
1134	1621890	1237156
1135	1624005	1236247
1136	1626110	1235328
1137	1628213	1234406
1138	1630411	1233553
1139	1632573	1232671
1140	1635035	1232013
1141	1638083	1231792
1142	1641692	1231988
1143	1643941	1231158
1144	1646338	1230436
1145	1649216	1230070
1146	1651941	1229586
1147	1654405	1228904
1148	1656681	1228080
1149	1658993	1227280
1150	1661278	1226457
1151	1663406	1225515
1152	1665613	1224631
1153	1667742	1223685
1154	1669999	1222832
1155	1672211	1221945
1156	1674503	1221113
1157	1677017	1220439
1158	1678956	1219345
1159	1680823	1218198
1160	1682782	1217116
1161	1684734	1216027
1162	1686858	1215060
1163	1689142	1214207
1164	1691361	1213304
1165	1693568	1212391
1166	1695830	1211515
1167	1698059	1210613
1168	1700364	1209762
1169	1702519	1208803
1170	1704744	1207891
1171	1707027	1207018
1172	1709335	1206160
1173	1711787	1205402
1174	1714000	1204472
1175	1716304	1203604
1176	1718220	1202462
1177	1720066	1201269
1178	1721838	1200024
1179	1723652	1198808
1180	1725611	1197691
1181	1727790	1196725
1182	1729893	1195704
1183	1731798	1194545
1184	1734077	1193643
1185	1736413	1192776
1186	1738972	1192061
1187	1741091	1191041
1188	1743145	1189975
1189	1745360	1189017
1190	1747661	1188115
1191	1750018	1187250
1192	1752252	1186298
1193	1754305	1185222
1194	1756453	1184208
1195	1758443	1183086
1196	1760477	1181992
1197	1762280	1180742
1198	1764040	1179462
1199	1765871	1178229
1200	1767621	1176941
1201	1769335	1175628
1202	1771131	1174369
1203	1772952	1173125
1204	1774721	1171846
1205	1776447	1170538
1206	1778209	1169253
1207	1779992	1167981
1208	1781720	1166673
1209	1783455	1165367
1210	1785199	1164067
1211	1786991	1162798
1212	1788765	1161516
1213	1790536	1160231
1214	1792330	1158961
1215	1794077	1157659
1216	1796215	1156609
1217	1798187	1155450
1218	1800157	1154288
1219	1802709	1153497
1220	1805517	1152867
1221	1807964	1152003
1222	1810403	1151132
1223	1813040	1150384
1224	1815931	1149793
1225	1818715	1149131
1226	1821252	1148310
1227	1824043	1147646
1228	1826692	1146889
1229	1829250	1146072
1230	1831904	1145312
1231	1835078	1144874
1232	1838293	1144456
1233	1841543	1144057
1234	1844178	1143270
1235	1846915	1142545
1236	1849619	1141795
1237	1852458	1141126
1238	1855428	1140533
1239	1858002	1139695
1240	1860644	1138894
1241	1863185	1138029
1242	1865699	1137145
1243	1868151	1136220
1244	1870766	1135392
1245	1873211	1134459
1246	1875564	1133467
1247	1877770	1132384
1248	1880039	1131338
1249	1882361	1130321
1250	1884731	1129331
1251	1886981	1128267
1252	1889217	1127192
1253	1891572	1126187
1254	1893998	1125222
1255	1896360	1124216
1256	1898699	1123195
1257	1900523	1121868
1258	1902331	1120530
1259	1904134	1119189
1260	1905963	1117862
1261	1907855	1116572
1262	1909647	1115221
1263	1911446	1113875
1264	1913323	1112573
1265	1915210	1111276
1266	1917031	1109939
1267	1918820	1108584
1268	1920614	1107231
1269	1922479	1105918
1270	1924310	1104584
1271	1926108	1103231
1272	1928198	1102044
1273	1930266	1100843
1274	1932709	1099854
1275	1935345	1098972
1276	1937810	1097991
1277	1940235	1096985
1278	1942668	1095981
1279	1945131	1094991
1280	1947663	1094039
1281	1949983	1092964
1282	1952437	1091963
1283	1954994	1091017
1284	1957621	1090108
1285	1960090	1089108
1286	1962631	1088146
1287	1965388	1087301
1288	1968122	1086440
1289	1970887	1085593
1290	1973523	1084673
1291	1976410	1083887
1292	1979131	1083007
1293	1981924	1082164
1294	1984775	1081350
1295	1987704	1080574
1296	1990402	1079670
1297	1993293	1078868
1298	1996092	1078013
1299	1999035	1077232
1300	2002052	1076487
1301	2005084	1075748
1302	2007420	1074633
1303	2009949	1073618
1304	2012484	1072604
1305	2014949	1071551
1306	2017377	1070476
1307	2019875	1069436
1308	2022271	1068340
1309	2024742	1067282
1310	2027268	1066250
1311	2030006	1065327
1312	2032882	1064474
1313	2035917	1063700
1314	2038866	1062879
1315	2041335	1061805
1316	2043872	1060763
1317	2046331	1059679
1318	2048861	1058630
1319	2051449	1057608
1320	2053897	1056512
1321	2056489	1055488
1322	2059463	1054657
1323	2062785	1054000
1324	2065099	1052826
1325	2067649	1051770
1326	2070283	1050754
