,xgboost,lightgbm,catboost,correlation,lasso,combined
BsmtFinType2_BLQ,0.0009437515749596059,1.4,0.025795035589596914,0.05173904320639173,0.0,0.013156873025140053
PoolArea,0.0017124427889939398,0.0,0.036073743349739555,0.07433769843327705,0.00014211234777880132,0.01295769794309498
BsmtFinType1_LwQ,0.00027420942205935717,0.2,0.0,0.08255289035159817,0.0,0.012667291198855254
BsmtCond_Po,0.0,0.0,0.00032772174376077405,0.08890161398720765,0.0,0.012649727911518499
PoolQC_Ex,0.0,0.0,0.0,0.08535531200606375,0.0,0.012141437244709103
MSZoning_RH,0.0003009472333360463,0.0,0.07117025151438537,0.0722759684338586,0.0,0.011417012598541366
GarageCond_Po,0.0001749341521644965,0.0,0.0005464010108143939,0.07841795663345677,0.0,0.011336157794540015
Heating_Wall,0.00010975890036206693,0.0,0.0,0.07800603248851835,0.0,0.011205909287832156
ExterCond_Gd,0.0007701939670369029,1.0,0.013281232893511574,0.045547912206244504,0.0,0.010655719488721788
MiscFeature_Shed,0.0,0.0,0.0,0.0726291819631669,0.0,0.010331198307583988
Functional_Min2,0.00014324065996333956,0.0,0.0,0.06903152446419572,0.0,0.009962840546738865
SaleCondition_Family,0.0015950154629535973,0.0,0.12735601551919723,0.045556620006300313,0.0,0.009570778578996837
Electrical_FuseP,0.0,0.0,0.0,0.06559232850412346,0.0,0.00933023524312796
Condition1_PosN,0.0004090634130989201,0.0,0.011322432269526426,0.061601573334422094,0.0,0.009304874248047474
SaleCondition_AdjLand,2.404269325779751e-05,0.0,0.0,0.06495751477370923,0.0,0.00926400407095876
GarageQual_Po,0.0,0.0,0.0,0.06267344261153061,0.0,0.008915035895173317
LandSlope_Mod,0.004530871607130393,0.0,0.02412830961410978,0.028575088173233194,0.0,0.008883421486756589
MiscFeature_Othr,0.0,0.0,0.0,0.0619049293762,0.0,0.00880571809175609
Condition1_PosA,0.0012644428163184785,0.0,0.0,0.05254794048887327,0.0,0.008740522005559003
Functional_Min1,0.00015057743876241149,0.0,0.0,0.05969780526226495,0.0,0.008642502540905357
BsmtExposure_Mn,0.0005181583372177556,0.2,0.0,0.05161188946364971,0.0,0.008510272925402684
Electrical_Mix,0.0,0.0,9.644021631335387e-05,0.05976579912505201,0.0,0.008502566923442855
HouseStyle_SLvl,0.0009055788104888052,1.6,0.0576912900310075,0.011815200171253886,0.0,0.008463768498501927
